""	"samplename"	"strain"	"sample"	"experiment"	"time"	"generation"	"CN"	"Sugar"	"reactorname"	"fraction"	"correctedfraction"	"sum"	"correctedsum"	"correctedfraction2"	"correctedsum2"
"377"	"S2R2_takedown"	"Ssal"	"S2R2"	"SDR12"	"takedown"	159.773055	6	"Sucrose"	"R2"	0.598839619	0.469091034883333	1	0.941882856503333	0.498035431523616	1
"378"	"S2R2_takedown"	"Vaty"	"S2R2"	"SDR12"	"takedown"	159.773055	3	"Sucrose"	"R2"	0.156237049	0.244771376766667	1	0.941882856503333	0.259874542865512	1
"379"	"S2R3_0"	"Lcas"	"S2R3"	"SDR12"	"0"	0.437468354	5	"Sucrose"	"R3"	0.111893908	0.10518027352	1	1.14610788787	0.0917717037228264	1
"380"	"S2R3_0"	"Lreu"	"S2R3"	"SDR12"	"0"	0.437468354	6	"Sucrose"	"R3"	0.004144219	0.00324630488333333	1	1.14610788787	0.00283246011801426	1
"381"	"S2R3_0"	"Phis"	"S2R3"	"SDR12"	"0"	0.437468354	4	"Sucrose"	"R3"	0.881475342	1.03573352685	1	1.14610788787	0.90369636036174	1
"382"	"S2R3_0"	"Smit"	"S2R3"	"SDR12"	"0"	0.437468354	4	"Sucrose"	"R3"	0	0	1	1.14610788787	0	1
"383"	"S2R3_0"	"Ssal"	"S2R3"	"SDR12"	"0"	0.437468354	6	"Sucrose"	"R3"	0.002486531	0.00194778261666667	1	1.14610788787	0.00169947579741952	1
"384"	"S2R3_0"	"Vaty"	"S2R3"	"SDR12"	"0"	0.437468354	3	"Sucrose"	"R3"	0	0	1	1.14610788787	0	1
"385"	"S2R3_11"	"Lcas"	"S2R3"	"SDR12"	"11"	93.65684964	5	"Sucrose"	"R3"	0.938665562	0.88234562828	1	0.972917529746667	0.906906907628388	1
"386"	"S2R3_11"	"Lreu"	"S2R3"	"SDR12"	"11"	93.65684964	6	"Sucrose"	"R3"	0.000828844	0.000649261133333333	1	0.972917529746667	0.00066733419172989	1
"387"	"S2R3_11"	"Phis"	"S2R3"	"SDR12"	"11"	93.65684964	4	"Sucrose"	"R3"	0	0	1	0.972917529746667	0	1
"388"	"S2R3_11"	"Smit"	"S2R3"	"SDR12"	"11"	93.65684964	4	"Sucrose"	"R3"	0	0	1	0.972917529746667	0	1
"389"	"S2R3_11"	"Ssal"	"S2R3"	"SDR12"	"11"	93.65684964	6	"Sucrose"	"R3"	0.006216328	0.00486945693333333	1	0.972917529746667	0.00500500482769723	1
"390"	"S2R3_11"	"Vaty"	"S2R3"	"SDR12"	"11"	93.65684964	3	"Sucrose"	"R3"	0.054289266	0.0850531834	1	0.972917529746667	0.0874207533521845	1
"391"	"S2R3_13"	"Lcas"	"S2R3"	"SDR12"	"13"	110.4255445	5	"Sucrose"	"R3"	0.942395358	0.88585163652	0.999999999	0.946882165036667	0.935545804145225	1
"392"	"S2R3_13"	"Lreu"	"S2R3"	"SDR12"	"13"	110.4255445	6	"Sucrose"	"R3"	0.003315375	0.00259704375	0.999999999	0.946882165036667	0.00274273172089944	1
"393"	"S2R3_13"	"Phis"	"S2R3"	"SDR12"	"13"	110.4255445	4	"Sucrose"	"R3"	0	0	0.999999999	0.946882165036667	0	1
"394"	"S2R3_13"	"Smit"	"S2R3"	"SDR12"	"13"	110.4255445	4	"Sucrose"	"R3"	0	0	0.999999999	0.946882165036667	0	1
"395"	"S2R3_13"	"Ssal"	"S2R3"	"SDR12"	"13"	110.4255445	6	"Sucrose"	"R3"	0.033982594	0.0266196986333333	0.999999999	0.946882165036667	0.0281130003460383	1
"396"	"S2R3_13"	"Vaty"	"S2R3"	"SDR12"	"13"	110.4255445	3	"Sucrose"	"R3"	0.020306672	0.0318137861333333	0.999999999	0.946882165036667	0.0335984637878372	1
"397"	"S2R3_15"	"Lcas"	"S2R3"	"SDR12"	"15"	126.7890053	5	"Sucrose"	"R3"	0.973891421	0.91545793574	0.999999999	0.948570243356667	0.965092403173545	1
"398"	"S2R3_15"	"Lreu"	"S2R3"	"SDR12"	"15"	126.7890053	6	"Sucrose"	"R3"	0.000828844	0.000649261133333333	0.999999999	0.948570243356667	0.000684462893370785	1
"399"	"S2R3_15"	"Phis"	"S2R3"	"SDR12"	"15"	126.7890053	4	"Sucrose"	"R3"	0	0	0.999999999	0.948570243356667	0	1
"400"	"S2R3_15"	"Smit"	"S2R3"	"SDR12"	"15"	126.7890053	4	"Sucrose"	"R3"	0	0	0.999999999	0.948570243356667	0	1
"401"	"S2R3_15"	"Ssal"	"S2R3"	"SDR12"	"15"	126.7890053	6	"Sucrose"	"R3"	0.009117281	0.00714187011666667	0.999999999	0.948570243356667	0.0075290893496659	1
"402"	"S2R3_15"	"Vaty"	"S2R3"	"SDR12"	"15"	126.7890053	3	"Sucrose"	"R3"	0.016162453	0.0253211763666667	0.999999999	0.948570243356667	0.0266940445834182	1
"403"	"S2R3_18"	"Lcas"	"S2R3"	"SDR12"	"18"	153.1416267	5	"Sucrose"	"R3"	0.877745545	0.8250808123	1	1.00687387793333	0.819448026592492	1
"404"	"S2R3_18"	"Lreu"	"S2R3"	"SDR12"	"18"	153.1416267	6	"Sucrose"	"R3"	0.003315375	0.00259704375	1	1.00687387793333	0.00257931386136522	1
"405"	"S2R3_18"	"Phis"	"S2R3"	"SDR12"	"18"	153.1416267	4	"Sucrose"	"R3"	0	0	1	1.00687387793333	0	1
"406"	"S2R3_18"	"Smit"	"S2R3"	"SDR12"	"18"	153.1416267	4	"Sucrose"	"R3"	0	0	1	1.00687387793333	0	1
"407"	"S2R3_18"	"Ssal"	"S2R3"	"SDR12"	"18"	153.1416267	6	"Sucrose"	"R3"	0.009117281	0.00714187011666667	1	1.00687387793333	0.00709311292425797	1
"408"	"S2R3_18"	"Vaty"	"S2R3"	"SDR12"	"18"	153.1416267	3	"Sucrose"	"R3"	0.109821799	0.172054151766667	1	1.00687387793333	0.170879546621884	1
"409"	"S2R3_3"	"Lcas"	"S2R3"	"SDR12"	"3"	25.9525168	5	"Sucrose"	"R3"	0.789888106	0.74249481964	1.000000001	1.06193120715667	0.699192955848843	1
"410"	"S2R3_3"	"Lreu"	"S2R3"	"SDR12"	"3"	25.9525168	6	"Sucrose"	"R3"	0.003315375	0.00259704375	1.000000001	1.06193120715667	0.00244558567682893	1
"411"	"S2R3_3"	"Phis"	"S2R3"	"SDR12"	"3"	25.9525168	4	"Sucrose"	"R3"	0	0	1.000000001	1.06193120715667	0	1
"412"	"S2R3_3"	"Smit"	"S2R3"	"SDR12"	"3"	25.9525168	4	"Sucrose"	"R3"	0.000828844	0.0009738917	1.000000001	1.06193120715667	0.000917094905429521	1
"413"	"S2R3_3"	"Ssal"	"S2R3"	"SDR12"	"3"	25.9525168	6	"Sucrose"	"R3"	0.00870286	0.00681724033333333	1.000000001	1.06193120715667	0.00641966286270706	1
"414"	"S2R3_3"	"Vaty"	"S2R3"	"SDR12"	"3"	25.9525168	3	"Sucrose"	"R3"	0.197264816	0.309048211733333	1.000000001	1.06193120715667	0.291024700706191	1
"415"	"S2R3_6"	"Lcas"	"S2R3"	"SDR12"	"6"	51.2897143	5	"Sucrose"	"R3"	0.722751761	0.67938665534	0.999999999	0.944934382106667	0.718977601201635	1
"416"	"S2R3_6"	"Lreu"	"S2R3"	"SDR12"	"6"	51.2897143	6	"Sucrose"	"R3"	0.002900953	0.00227241318333333	0.999999999	0.944934382106667	0.00240483701975913	1
"417"	"S2R3_6"	"Phis"	"S2R3"	"SDR12"	"6"	51.2897143	4	"Sucrose"	"R3"	0	0	0.999999999	0.944934382106667	0	1
"418"	"S2R3_6"	"Smit"	"S2R3"	"SDR12"	"6"	51.2897143	4	"Sucrose"	"R3"	0	0	0.999999999	0.944934382106667	0	1
"419"	"S2R3_6"	"Ssal"	"S2R3"	"SDR12"	"6"	51.2897143	6	"Sucrose"	"R3"	0.212598425	0.166535432916667	0.999999999	0.944934382106667	0.176240208918409	1
"420"	"S2R3_6"	"Vaty"	"S2R3"	"SDR12"	"6"	51.2897143	3	"Sucrose"	"R3"	0.06174886	0.0967398806666667	0.999999999	0.944934382106667	0.102377352860197	1
"421"	"S2R3_7"	"Lcas"	"S2R3"	"SDR12"	"7"	59.90966366	5	"Sucrose"	"R3"	0.474927476	0.44643182744	1	0.967463738106667	0.461445540391695	1
"422"	"S2R3_7"	"Lreu"	"S2R3"	"SDR12"	"7"	59.90966366	6	"Sucrose"	"R3"	0.018234563	0.0142837410166667	1	0.967463738106667	0.0147641099651136	1
"423"	"S2R3_7"	"Phis"	"S2R3"	"SDR12"	"7"	59.90966366	4	"Sucrose"	"R3"	0	0	1	0.967463738106667	0	1
"424"	"S2R3_7"	"Smit"	"S2R3"	"SDR12"	"7"	59.90966366	4	"Sucrose"	"R3"	0	0	1	0.967463738106667	0	1
"425"	"S2R3_7"	"Ssal"	"S2R3"	"SDR12"	"7"	59.90966366	6	"Sucrose"	"R3"	0.366763365	0.28729796925	1	0.967463738106667	0.296959935482692	1
"426"	"S2R3_7"	"Vaty"	"S2R3"	"SDR12"	"7"	59.90966366	3	"Sucrose"	"R3"	0.140074596	0.2194502004	1	0.967463738106667	0.226830414160499	1
"427"	"S2R3_9"	"Lcas"	"S2R3"	"SDR12"	"9"	76.73494117	5	"Sucrose"	"R3"	0.804392872	0.75612929968	1.000000001	0.981747480063333	0.770187156101711	1
"428"	"S2R3_9"	"Lreu"	"S2R3"	"SDR12"	"9"	76.73494117	6	"Sucrose"	"R3"	0.007459594	0.00584334863333333	1.000000001	0.981747480063333	0.00595198740205208	1
"429"	"S2R3_9"	"Phis"	"S2R3"	"SDR12"	"9"	76.73494117	4	"Sucrose"	"R3"	0	0	1.000000001	0.981747480063333	0	1
"430"	"S2R3_9"	"Smit"	"S2R3"	"SDR12"	"9"	76.73494117	4	"Sucrose"	"R3"	0	0	1.000000001	0.981747480063333	0	1
"431"	"S2R3_9"	"Ssal"	"S2R3"	"SDR12"	"9"	76.73494117	6	"Sucrose"	"R3"	0.095731455	0.07498963975	1.000000001	0.981747480063333	0.0763838372624724	1
"432"	"S2R3_9"	"Vaty"	"S2R3"	"SDR12"	"9"	76.73494117	3	"Sucrose"	"R3"	0.09241608	0.144785192	1.000000001	0.981747480063333	0.147477019233764	1
"433"	"S2R3_takedown"	"Lcas"	"S2R3"	"SDR12"	"takedown"	164.1311004	5	"Sucrose"	"R3"	0.402818069	0.37864898486	1.000000001	1.05550352366	0.358737774315542	1
"434"	"S2R3_takedown"	"Lreu"	"S2R3"	"SDR12"	"takedown"	164.1311004	6	"Sucrose"	"R3"	0.158723581	0.124333471783333	1.000000001	1.05550352366	0.117795411380724	1
"435"	"S2R3_takedown"	"Phis"	"S2R3"	"SDR12"	"takedown"	164.1311004	4	"Sucrose"	"R3"	0	0	1.000000001	1.05550352366	0	1
"436"	"S2R3_takedown"	"Smit"	"S2R3"	"SDR12"	"takedown"	164.1311004	4	"Sucrose"	"R3"	0	0	1.000000001	1.05550352366	0	1
"437"	"S2R3_takedown"	"Ssal"	"S2R3"	"SDR12"	"takedown"	164.1311004	6	"Sucrose"	"R3"	0.171570659	0.134397016216667	1.000000001	1.05550352366	0.127329765561217	1
"438"	"S2R3_takedown"	"Vaty"	"S2R3"	"SDR12"	"takedown"	164.1311004	3	"Sucrose"	"R3"	0.266887692	0.4181240508	1.000000001	1.05550352366	0.396137048742517	1
"439"	"S2R4_0"	"Lcas"	"S2R4"	"SDR12"	"0"	0.455696203	5	"Sucrose"	"R4"	0.106092002	0.09972648188	1	1.14390040072167	0.0871810883334636	1
